Title,Product,Category,Geography,Frequency,Reference Period,Release Date,Table No,Download URL,Data Source,Description
Statement 2.3B-GFCF by type of asset by industry - Private Corporations,NAS,National Accounts Statistics,All India,Annual,2013-14,31 Jan 2015,NASAFY15026ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2015/Chapter2/S2.3B.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication."
Statement 2.3C-GFCF by type of asset by industry - Households,NAS,National Accounts Statistics,All India,Annual,2013-14,31 Jan 2015,NASAFY15027ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2015/Chapter2/S2.3C.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication."
Statement 2.4: Net Capital Stock by Industry of Use,NAS,National Accounts Statistics,All India,Annual,2013-14,31 Jan 2015,NASAFY15028ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2015/Chapter2/S2.4.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication."
Statement 2.4A: Net Capital Stock by Industry of Use for Public Sector,NAS,National Accounts Statistics,All India,Annual,2013-14,31 Jan 2015,NASAFY15029ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2015/Chapter2/S2.4A.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication."
Statement 2.4B: Net Capital Stock by Industry of Use for Private Corporations,NAS,National Accounts Statistics,All India,Annual,2013-14,31 Jan 2015,NASAFY15030ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2015/Chapter2/S2.4B.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication."
Statement 2.4 C: Net Capital Stock by Industry of Use for Households,NAS,National Accounts Statistics,All India,Annual,2013-14,31 Jan 2015,NASAFY15031ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2015/Chapter2/S2.4C.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication."
Statement 5.3 Value Added by Central and State Governments,NAS,National Accounts Statistics,All India,Annual,2013-14,31 Jan 2015,NASAFY15032ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2015/Chapter5/S5.3.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication."
Statement 6.1 - Private Final Consumption Expenditure classified by item,NAS,National Accounts Statistics,All India,Annual,2013-14,31 Jan 2015,NASAFY15033ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2015/Chapter6/S6.1.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication."
Statement 6.2 - Individual Consumption Expenditure by Households and General Government,NAS,National Accounts Statistics,All India,Annual,2013-14,31 Jan 2015,NASAFY15034ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2015/Chapter6/S6.2.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication."
Statement 6.3 - FINANCIAL ASSETS AND LIABILITIES OF HOUSEHOLD SECTOR,NAS,National Accounts Statistics,All India,Annual,2013-14,31 Jan 2015,NASAFY15035ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2015/Chapter6/S6.3.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication."
